epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1816.97,0.3055,3.31161,0.18768,0.26673,0.94067,1,1,0.995,0.95003,0.6273,0.6,0.54967,0.2043,0.44811,3.76638,0.15779,0.33973,0.70965,0.00163172,0.00163172,0.00163172
95,1836.38,0.29745,2.91155,0.19182,0.27274,0.94557,0.99811,1,0.995,0.93258,0.86503,0.86667,0.81712,0.3084,0.42093,3.27145,0.16258,0.32971,0.69127,0.00162776,0.00162776,0.00162776
96,1855.77,0.3036,3.13673,0.20158,0.27355,0.93602,0.99814,1,0.995,0.93306,0.69899,0.7,0.60548,0.19417,0.42983,3.84297,0.16443,0.31549,0.6918,0.0016238,0.0016238,0.0016238
97,1874.89,0.30255,3.22011,0.19456,0.27158,0.94347,0.99811,1,0.995,0.91234,0.76519,0.76667,0.65838,0.23466,0.43022,3.65178,0.1765,0.33685,0.71077,0.00161984,0.00161984,0.00161984
98,1894.07,0.31263,3.11327,0.18928,0.27573,0.94084,0.99816,1,0.995,0.93545,0.79849,0.8,0.78001,0.34439,0.36474,3.05694,0.1656,0.30517,0.64758,0.00161588,0.00161588,0.00161588
99,1913.89,0.32148,2.99242,0.18914,0.2741,0.95185,0.99813,1,0.995,0.94471,0.83263,0.83333,0.82044,0.31766,0.34796,3.46766,0.15966,0.30655,0.63342,0.00161192,0.00161192,0.00161192
100,1933.39,0.29122,2.93539,0.1898,0.27435,0.93536,0.99823,1,0.995,0.92786,0.80196,0.8,0.74591,0.34023,0.41995,3.31167,0.16097,0.31555,0.70756,0.00160796,0.00160796,0.00160796
101,1952.8,0.30344,3.5448,0.19825,0.27249,0.92596,0.99819,1,0.995,0.93578,0.79933,0.8,0.78701,0.32948,0.39679,3.46985,0.16843,0.33142,0.67799,0.001604,0.001604,0.001604
102,1972.37,0.2859,3.37838,0.19215,0.26424,0.91593,0.99811,1,0.995,0.93679,0.86574,0.86667,0.82112,0.26622,0.37828,3.3202,0.15613,0.2824,0.67898,0.00160004,0.00160004,0.00160004
103,1991.22,0.2995,3.1201,0.18221,0.27426,0.94098,0.99808,1,0.995,0.91521,0.86501,0.86667,0.81342,0.35192,0.39862,3.00383,0.15898,0.29212,0.68386,0.00159608,0.00159608,0.00159608
104,2009.92,0.28984,3.13413,0.19422,0.25981,0.94094,0.99819,1,0.995,0.92117,0.799,0.8,0.79101,0.27839,0.4269,3.49992,0.15591,0.33867,0.68451,0.00159212,0.00159212,0.00159212
105,2029.08,0.30497,3.57555,0.18946,0.26648,0.93005,0.99821,1,0.995,0.92766,0.76654,0.76667,0.79238,0.34136,0.45406,3.37939,0.17868,0.36189,0.72032,0.00158816,0.00158816,0.00158816
106,2048.1,0.30144,3.42144,0.18593,0.2616,0.93681,0.99823,1,0.995,0.88332,0.54839,0.56667,0.45221,0.17252,0.54355,3.90682,0.176,0.38178,0.79989,0.0015842,0.0015842,0.0015842
107,2067.68,0.32817,3.44361,0.19448,0.2702,0.95159,0.99807,1,0.995,0.91262,0.93153,0.93333,0.89861,0.29942,0.47194,2.72932,0.17144,0.36451,0.74996,0.00158024,0.00158024,0.00158024
108,2087.01,0.30886,2.9492,0.18601,0.27461,0.9434,0.99804,1,0.995,0.90624,0.83331,0.83333,0.76629,0.27021,0.46499,3.22594,0.15849,0.37014,0.73384,0.00157628,0.00157628,0.00157628
109,2105.94,0.32196,2.97995,0.18713,0.28253,0.95277,0.99816,1,0.995,0.94451,0.93162,0.93333,0.91877,0.36624,0.38314,2.61711,0.16445,0.32216,0.65989,0.00157232,0.00157232,0.00157232
